base_id,n_rules,n_ra,n_si,n_cx,n_top,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,rules
62,14,6,3,2,3,0.7207,0.0009,0.7263,0.0007,0.5718,0.9953,8,0.258,"RA:AG1,AG19,AG28,A1,A2,A4|SI:BG2,BG6,B3|CX:C4,C5|TOP:TG9,T4,T5"
71,19,6,2,2,9,0.7163,0.0006,0.7191,0.0004,0.5622,0.9975,10,0.294,"RA:AG1,AG10,A1,A2,A5,A6|SI:BG6,B3|CX:CG4,C5|TOP:TG3,TG9,TG11,TG15,TG21,T1,T3,T4,T5"
94,17,7,3,2,5,0.713,0.0007,0.7187,0.0006,0.5621,0.9963,9,0.273,"RA:AG1,AG23,AG25,A1,A2,A3,A4|SI:BG2,BG6,B3|CX:C4,C5|TOP:TG1,TG4,TG9,T4,T5"
90,14,6,2,2,4,0.7086,0.0007,0.7147,0.0006,0.5571,0.9964,8,0.258,"RA:AG1,AG9,AG27,A1,A2,A6|SI:BG2,B3|CX:C4,C5|TOP:TG1,TG9,T4,T5"
91,15,5,3,2,5,0.705,0.0004,0.7109,0.0003,0.5521,0.9978,7,0.212,"RA:AG1,AG21,AG27,A1,A2|SI:BG2,BG6,B3|CX:C4,C5|TOP:TG1,TG9,TG15,T4,T5"
63,12,4,3,2,3,0.6996,0.0008,0.7045,0.0007,0.5452,0.9953,9,0.321,"RA:AG19,A1,A3,A5|SI:BG2,B3,B5|CX:C4,C5|TOP:TG9,T4,T5"
54,12,4,2,2,4,0.6956,0.0004,0.7025,0.0003,0.5421,0.9978,7,0.233,"RA:AG1,AG27,A1,A2|SI:BG2,B3|CX:C4,C5|TOP:TG1,TG9,T4,T5"
18,18,5,3,5,5,0.6848,0.0004,0.6931,0.0003,0.5309,0.9978,10,0.303,"RA:AG1,AG27,A1,A2,A6|SI:BG2,B1,B3|CX:CG3,CG4,C3,C4,C5|TOP:TG1,TG4,TG9,T4,T5"
86,16,4,4,4,4,0.6792,0.0004,0.6862,0.0003,0.523,0.9977,9,0.281,"RA:AG1,AG18,A1,A2|SI:BG2,BG6,B1,B3|CX:CG3,C3,C4,C5|TOP:TG1,TG9,T4,T5"
92,16,4,3,4,5,0.6734,0.0003,0.6817,0.0003,0.5176,0.9979,8,0.242,"RA:AG1,AG27,A1,A2|SI:BG6,B1,B3|CX:CG3,CG4,C3,C5|TOP:TG1,TG9,TG12,T4,T5"
114,19,6,4,4,5,0.6755,0.0003,0.6816,0.0003,0.5176,0.9979,9,0.257,"RA:AG1,AG10,AG18,AG27,A1,A2|SI:BG2,BG6,B1,B3|CX:CG3,C3,C4,C5|TOP:TG1,TG9,TG12,T4,T5"
64,19,9,3,1,6,0.6688,0.0002,0.6709,0.0002,0.5052,0.9985,8,0.222,"RA:AG1,AG15,AG21,AG23,AG25,AG29,A1,A3,A5|SI:BG2,B3,B5|CX:CG2|TOP:TG1,TG9,TG21,T1,T4,T5"
84,16,7,2,2,5,0.664,0.0001,0.6696,0.0001,0.5035,0.9992,8,0.242,"RA:AG1,AG15,AG21,AG23,AG25,A1,A3|SI:BG2,B3|CX:C4,C5|TOP:TG1,TG9,T1,T4,T5"
43,13,5,2,2,4,0.6594,0.0001,0.6638,0.0001,0.4969,0.9992,7,0.226,"RA:AG1,AG23,AG25,A1,A3|SI:BG2,B3|CX:C4,C5|TOP:TG1,TG9,T4,T5"
41,14,5,2,3,4,0.6366,0.0001,0.6407,0.0001,0.4716,0.9992,8,0.258,"RA:AG1,AG23,AG25,A1,A3|SI:BG2,B3|CX:C3,C4,C5|TOP:TG1,TG9,T4,T5"
42,12,4,2,2,4,0.6275,0.0001,0.6339,0.0001,0.4642,0.9991,7,0.233,"RA:AG1,AG23,A1,A3|SI:BG2,B3|CX:C4,C5|TOP:TG1,TG9,T4,T5"
46,13,6,2,1,4,0.608,0.0001,0.6109,0.0001,0.44,0.9992,7,0.226,"RA:AG1,AG23,AG25,A1,A3,A5|SI:BG2,B3|CX:C5|TOP:TG1,TG9,T4,T5"
